noisy_text,formal_text
เราควรวางแผนกกกการเดินทางล่วงหน้าเพื่อป้องกันความผิดพลาด,เราควรวางแผนการเดินทางล่วงหน้าเพื่อป้องกันความผิดพลาด
คุณมีความสนใจในด้านหุ่นยนต์หรือเปล่าคับ,คุณมีความสนใจในด้านหุ่นยนต์หรือเปล่าครับ
คุุุุณช่วยสรุปประเด็นสำคัญจากการประชุมให้หน่อยได้มุ้ย,คุณช่วยสรุปประเด็นสำคัญจากการประชุมให้หน่อยได้ไหม
โปรเจกต์นี้ต้องใช้เวลาในการพัฒนามากเบยครับบบ,โปรเจกต์นี้ต้องใช้เวลาในการพัฒนามากเลยครับ
ฉันกำลังศึกษาเกี่ยวกับออออินเทอร์เน็ตของสรรพสิ่ง,ฉันกำลังศึกษาเกี่ยวกับอินเทอร์เน็ตของสรรพสิ่ง
ตะเองทำความสะอาดห้องเเรียบร้อยแล้วหรือยัง,ตัวเองทำความสะอาดห้องเรียบร้อยแล้วหรือยัง
วันนี้ฉันไม่มีีสมาธิในการทำงานเบย,วันนี้ฉันไม่มีสมาธิในการทำงานเลย
การลงทุนมีความเสี่ยงผู้ลงทุนควรศึกษาข้อมูลให้ดีี,การลงทุนมีความเสี่ยงผู้ลงทุนควรศึกษาข้อมูลให้ดี
คุณคิดว่าเราควรปรับปรุงระบบรักษาควาามปลอดภัยไหม,คุณคิดว่าเราควรปรับปรุงระบบรักษาความปลอดภัยไหม
ภาพยนตร์เรื่องเมื่อคืนสนุกมากเบยนะ,ภาพยนตร์เรื่องเมื่อคืนสนุกมากเลยนะ
ฉันกำลังหางานพาร์ทไทม์ทำระหว่างเรียยน,ฉันกำลังหางานพาร์ทไทม์ทำระหว่างเรียน
คุณต้้้องการรับเครื่องดื่มอะไรเพิ่มเติมมุ้ยคับ,คุณต้องการรับเครื่องดื่มอะไรเพิ่มเติมไหมครับ
คุณมีคววามคิดเห็นเกี่ยวกับการเปลี่ยนแปลงสภาพภูมิอากาศอย่างไร,คุณมีความคิดเห็นเกี่ยวกับการเปลี่ยนแปลงสภาพภูมิอากาศอย่างไร
ตัวเองอย่าลืมรับประทาาานยาตามที่แพทย์สั่งนะ,ตัวเองอย่าลืมรับประทานยาตามที่แพทย์สั่งนะ
ตะเองอยากเเเข้าร่วมเวิร์กชอปเรื่องวิศวกรรมข้อมูลมุ้ย,ตัวเองอยากเข้าร่วมเวิร์กชอปเรื่องวิศวกรรมข้อมูลไหม
คุณต้องการรับเครื่องดื่มอะไรเพิ่มเติมมุ้ยคับ,คุณต้องการรับเครื่องดื่มอะไรเพิ่มเติมไหมครับ
ฉันรู้สึกสนใจในการพัฒนาระะะะบบอัตโนมัติ,ฉันรู้สึกสนใจในการพัฒนาระบบอัตโนมัติ
ฉันไม่เห็นด้วยกับการตัดสินใจในครั้งนี้เบย,ฉันไม่เห็นด้วยกับการตัดสินใจในครั้งนี้เลย
วันนี้ลูกค้าโทรมาสอบบบบถามเกี่ยวกับสินค้าเยอะมาก,วันนี้ลูกค้าโทรมาสอบถามเกี่ยวกับสินค้าเยอะมาก
คอมพิวเตอร์ขขของฉันมีปัญหาเปิดไม่ติดเบย,คอมพิวเตอร์ของฉันมีปัญหาเปิดไม่ติดเลย
วิชานี้ต้องใช้ความมเข้าใจทางคณิตศาสตร์ค่อนข้างมาก,วิชานี้ต้องใช้ความเข้าใจทางคณิตศาสตร์ค่อนข้างมาก
คุณมีความเชี่ยวชาญด้าาาานความปลอดภัยของข้อมูลมุ้ย,คุณมีความเชี่ยวชาญด้านความปลอดภัยของข้อมูลไหม
รถไฟฟ้าขัดข้องทำให้ผู้โดยสารตกค้างจำนวนมากกก,รถไฟฟ้าขัดข้องทำให้ผู้โดยสารตกค้างจำนวนมาก
ตะเองเตรียมตัวสำหรับการสอออบสัมภาษณ์พร้อมหรือยัง,ตัวเองเตรียมตัวสำหรับการสอบสัมภาษณ์พร้อมหรือยัง
คุณต้องการความช่วยเหลือเพิ่มเติมมุ้ยครับบบ,คุณต้องการความช่วยเหลือเพิ่มเติมไหมครับ
ฉันกำลังเขขขขียนโปรแกรมเพื่อดึงข้อมูลจากเว็บไซต์,ฉันกำลังเขียนโปรแกรมเพื่อดึงข้อมูลจากเว็บไซต์
วันนี้อากาศดีย์มากเลยนะ,วันนี้อากาศดีมากเลยนะ
ฉันกำลังฝึกฝนทักษะการพูดต่่่อหน้าสาธารณชน,ฉันกำลังฝึกฝนทักษะการพูดต่อหน้าสาธารณชน
วันนี้ฉันต้องไปติดต่อธุรรรระที่ธนาคาร,วันนี้ฉันต้องไปติดต่อธุระที่ธนาคาร
โปรเจกต์นี้ต้องใช้เวลาในการพัฒนามากเลยคับ,โปรเจกต์นี้ต้องใช้เวลาในการพัฒนามากเลยครับ
การเรียนรู้้้แบบออนไลน์มีความสะดวกสบายมาก,การเรียนรู้แบบออนไลน์มีความสะดวกสบายมาก
อัลกอริทึมนี้ทำงานได้อย่างมีประสิทธิภาพมากเบย,อัลกอริทึมนี้ทำงานได้อย่างมีประสิทธิภาพมากเลย
การนำเสนอแผนธุรกิจในวันนี้ได้รับเสียยงตอบรับที่ดีย์มาก,การนำเสนอแผนธุรกิจในวันนี้ได้รับเสียงตอบรับที่ดีมาก
คุณคิดว่าข้อสอบวิชานี้ยากมุ้ย,คุณคิดว่าข้อสอบวิชานี้ยากไหม
ระบบรักษาความปลอดภัยทางไซเบอร์มีความสำคัญญญอย่างยิ่ง,ระบบรักษาความปลอดภัยทางไซเบอร์มีความสำคัญอย่างยิ่ง
คุณมีความเชี่ยวชาญด้านความมปลอดภัยของข้อมูลมุ้ย,คุณมีความเชี่ยวชาญด้านความปลอดภัยของข้อมูลไหม
กรุณาส่งเอกสารทั้งหมดให้ผมภายในวววันศุกร์นี้ด้วย,กรุณาส่งเอกสารทั้งหมดให้ผมภายในวันศุกร์นี้ด้วย
คุณทราบข่าวววเรื่องการสอบปลายภาคหรือเปล่า,คุณทราบข่าวเรื่องการสอบปลายภาคหรือเปล่า
คุณมีความเชี่ยวชาญด้านความปลอดภัยของข้อมูลมุ้ย,คุณมีความเชี่ยวชาญด้านความปลอดภัยของข้อมูลไหม
ฉันไม่เห็นด้วยกับการตัดสินใจในครั้งนี้เบย,ฉันไม่เห็นด้วยกับการตัดสินใจในครั้งนี้เลย
คุณคคคคิดว่าสุนัขตัวนี้น่ารักไหม,คุณคิดว่าสุนัขตัวนี้น่ารักไหม
กรุณารอกระบวนนนนการตรวจสอบข้อมูลสักครู่,กรุณารอกระบวนการตรวจสอบข้อมูลสักครู่
ฉันกำลังศึกษาการเขียนโปรแกกกรมภาษาจาวาอยู่,ฉันกำลังศึกษาการเขียนโปรแกรมภาษาจาวาอยู่
คุณเคยใช้งานระบบจัดการฐานข้อมูลตัวนนนนี้หรือเปล่า,คุณเคยใช้งานระบบจัดการฐานข้อมูลตัวนี้หรือเปล่า
ฉันขออภัยในควาามไม่สะดวกที่เกิดขึ้นด้วยคับ,ฉันขออภัยในความไม่สะดวกที่เกิดขึ้นด้วยครับ
ฉันไมมมม่สามารถเข้าร่วมกิจกรรมในวันนี้ได้ครับ,ฉันไม่สามารถเข้าร่วมกิจกรรมในวันนี้ได้ครับ
ฉันอยากพัฒนาทักษะภาษาอังกฤษให้ดีขึ้นกว่่่่านี้,ฉันอยากพัฒนาทักษะภาษาอังกฤษให้ดีขึ้นกว่านี้
พรุ่งนี้เรามีนัดประชุมกันเวลาเก้าโมงเช้าชิมิิิิ,พรุ่งนี้เรามีนัดประชุมกันเวลาเก้าโมงเช้าใช่ไหม
คุณมีความคิดเห็นอย่างไรกับเรื่องนี้เหรออ,คุณมีความคิดเห็นอย่างไรกับเรื่องนี้เหรอ
คอมพิวเตอร์ของฉันมีปัญหาเปิดไม่ติดเบย,คอมพิวเตอร์ของฉันมีปัญหาเปิดไม่ติดเลย
ฉันขออภัยในความไม่สะะะดวกที่เกิดขึ้นด้วยคับ,ฉันขออภัยในความไม่สะดวกที่เกิดขึ้นด้วยครับ
คุณช่วยแนะนำเครื่อออองมือในการพัฒนาเว็บให้หน่อยได้มุ้ย,คุณช่วยแนะนำเครื่องมือในการพัฒนาเว็บให้หน่อยได้ไหม
ฉันกกกกำลังพยายามทำความเข้าใจบทความวิจัยนี้,ฉันกำลังพยายามทำความเข้าใจบทความวิจัยนี้
ตัวเองไปไหนมาหยอ,ตัวเองไปไหนมาเหรอ
โมเดลภาษาขนาดใหญ่สามารถประมวลผลข้อความได้อย่่่างรวดเร็ว,โมเดลภาษาขนาดใหญ่สามารถประมวลผลข้อความได้อย่างรวดเร็ว
การทำงานเป็นทีมคือหหัวใจสำคัญของความสำเร็จ,การทำงานเป็นทีมคือหัวใจสำคัญของความสำเร็จ
คุณสนใจเข้าร่วมกลุ่มศึกษาเรื่องปัญญาประดิษฐ์มุ้ย,คุณสนใจเข้าร่วมกลุ่มศึกษาเรื่องปัญญาประดิษฐ์ไหม
เพื่อนของฉันสอบได้คะแนนสูงงงสุดในห้องเบยนะ,เพื่อนของฉันสอบได้คะแนนสูงสุดในห้องเลยนะ
การอ่านหนังสือชช่วยเปิดโลกทัศน์ให้กว้างไกลขึ้น,การอ่านหนังสือช่วยเปิดโลกทัศน์ให้กว้างไกลขึ้น
ตะเองอ่านหนังสือเตตรียมสอบเสร็จหรือยัง,ตัวเองอ่านหนังสือเตรียมสอบเสร็จหรือยัง
เพื่อนของฉันสอบได้คะแนนสูงสุดในห้องเบยนะ,เพื่อนของฉันสอบได้คะแนนสูงสุดในห้องเลยนะ
ฉันไม่รู้้เรื่องนี้มาก่อนเบย,ฉันไม่รู้เรื่องนี้มาก่อนเลย
คุณพอจะมีเวลาว่างสักครูููู่มุ้ยคับ,คุณพอจะมีเวลาว่างสักครู่ไหมครับ
ฉันอยากพัฒนาทักษะภาษาอังกฤษให้ดีย์ขึ้นกว่านี้,ฉันอยากพัฒนาทักษะภาษาอังกฤษให้ดีขึ้นกว่านี้
ฉันรู้สึกเสียใจที่ทำให้คุุุณต้องผิดหวัง,ฉันรู้สึกเสียใจที่ทำให้คุณต้องผิดหวัง
ฉันไม่เห็นด้วยกับข้อเสนนอนี้เบย,ฉันไม่เห็นด้วยกับข้อเสนอนี้เลย
คุณมีข้อเสนอแนะสำหรับกาารปรับปรุงแอปพลิเคชันไหม,คุณมีข้อเสนอแนะสำหรับการปรับปรุงแอปพลิเคชันไหม
การวิเคราะห์เชิงทำนายสามารรรถช่วยคาดการณ์แนวโน้มได้,การวิเคราะห์เชิงทำนายสามารถช่วยคาดการณ์แนวโน้มได้
สวนสาธารรณะแห่งนี้มีบรรยากาศที่ร่มรื่นมาก,สวนสาธารณะแห่งนี้มีบรรยากาศที่ร่มรื่นมาก
ผมกำลังหาวิิิิธีแก้ไขข้อผิดพลาดในระบบคับ,ผมกำลังหาวิธีแก้ไขข้อผิดพลาดในระบบครับ
เอกสารประกอบการเรียนนชุดนี้อ่านเข้าใจง่ายมาก,เอกสารประกอบการเรียนชุดนี้อ่านเข้าใจง่ายมาก
คุณต้องการความช่วยเหลือเพิ่มเติมไหมคับ,คุณต้องการความช่วยเหลือเพิ่มเติมไหมครับ
ฉันอยากได้คอมพิวเตอร์เครื่องใหม่จุงเลย,ฉันอยากได้คอมพิวเตอร์เครื่องใหม่จังเลย
การนำำำำเสนอผลงานในวันนี้ผ่านไปได้ด้วยดีย์มาก,การนำเสนอผลงานในวันนี้ผ่านไปได้ด้วยดีมาก
วันนี้ฉันไมมม่มีสมาธิในการทำงานเบย,วันนี้ฉันไม่มีสมาธิในการทำงานเลย
จารย์มอบหมายงานให้พวกเราทำกลุ่มลละห้าคน,อาจารย์มอบหมายงานให้พวกเราทำกลุ่มละห้าคน
การทำความสะอออาดข้อมูลเป็นขั้นตอนที่ใช้เวลามาก,การทำความสะอาดข้อมูลเป็นขั้นตอนที่ใช้เวลามาก
คุณพอจะรู้จักผู้เชี่ยวชาญด้านระบบเครือข่ายมุ้ย,คุณพอจะรู้จักผู้เชี่ยวชาญด้านระบบเครือข่ายไหม
ตะเองอยากเข้าร่วมเวิร์กชอปเรื่องววววิศวกรรมข้อมูลมุ้ย,ตัวเองอยากเข้าร่วมเวิร์กชอปเรื่องวิศวกรรมข้อมูลไหม
คุณคิดว่าสุนัขตัวนี้น่ารักมุ้ย,คุณคิดว่าสุนัขตัวนี้น่ารักไหม
คุณช่วยสสสสรุปประเด็นสำคัญจากการประชุมให้หน่อยได้มุ้ย,คุณช่วยสรุปประเด็นสำคัญจากการประชุมให้หน่อยได้ไหม
ฉันรู้สึกภูมิใจในผลงานชิ้นนี้มากกกก,ฉันรู้สึกภูมิใจในผลงานชิ้นนี้มาก
ฉันไไไไม่อยากออกไปข้างนอกในเวลานี้เบย,ฉันไม่อยากออกไปข้างนอกในเวลานี้เลย
คุณเคยประสบปัญหาแบบเดีย์ยวกันนี้มุ้ย,คุณเคยประสบปัญหาแบบเดียวกันนี้ไหม
ฉันกำำลังศึกษาการเขียนโปรแกรมภาษาจาวาอยู่,ฉันกำลังศึกษาการเขียนโปรแกรมภาษาจาวาอยู่
ตะเองจะไปห้องสมุดกับฉันมุ้้้้ย,ตัวเองจะไปห้องสมุดกับฉันไหม
ฉันนนรู้สึกขอบคุณสำหรับความช่วยเหลือของคุณมากเบย,ฉันรู้สึกขอบคุณสำหรับความช่วยเหลือของคุณมากเลย
ฉันไม่เห็นด้วยกับข้อเสนนนอนี้เบย,ฉันไม่เห็นด้วยกับข้อเสนอนี้เลย
คุณช่วยแนะนำเครื่องมือในการพัฒนาเว็บให้หน่อยได้มุ้ย,คุณช่วยแนะนำเครื่องมือในการพัฒนาเว็บให้หน่อยได้ไหม
วันนี้ลูกค้าโทรมมมมาสอบถามเกี่ยวกับสินค้าเยอะมาก,วันนี้ลูกค้าโทรมาสอบถามเกี่ยวกับสินค้าเยอะมาก
คุณสนใจเข้าร่วมการแข่งขันเขียนโปรแกรมมุ้ยคับ,คุณสนใจเข้าร่วมการแข่งขันเขียนโปรแกรมไหมครับ
คุณมีควาามคิดเห็นเกี่ยวกับการเปลี่ยนแปลงสภาพภูมิอากาศอย่างไร,คุณมีความคิดเห็นเกี่ยวกับการเปลี่ยนแปลงสภาพภูมิอากาศอย่างไร
การวิเคราะะห์เชิงทำนายสามารถช่วยคาดการณ์แนวโน้มได้,การวิเคราะห์เชิงทำนายสามารถช่วยคาดการณ์แนวโน้มได้
ตะเองคิดว่าาาาปัญหาหลักของระบบนี้คืออะไรหยอ,ตัวเองคิดว่าปัญหาหลักของระบบนี้คืออะไรเหรอ
คุณทราาาบข่าวเรื่องการสอบปลายภาคหรือเปล่า,คุณทราบข่าวเรื่องการสอบปลายภาคหรือเปล่า
ฉันอยากกิินข้าวแล้ว,ฉันอยากกินข้าวแล้ว
ตัวเองไปไหนมาาาาหยอ,ตัวเองไปไหนมาเหรอ
ตะเองอยากทานขนมหวานมุ้ย,ตัวเองอยากทานขนมหวานไหม
คุณคิดว่าเราควรเริ่มต้นทำธุรกิจส่วนตัวมมมุ้ย,คุณคิดว่าเราควรเริ่มต้นทำธุรกิจส่วนตัวไหม
ฉฉฉันยินดีย์ให้คำปรึกษาหากคุณต้องการ,ฉันยินดีให้คำปรึกษาหากคุณต้องการ
การจัดการเวลาอย่างมีประะะะสิทธิภาพช่วยลดความเครียด,การจัดการเวลาอย่างมีประสิทธิภาพช่วยลดความเครียด
คุณเคยใช้งานระบบบบจัดการฐานข้อมูลตัวนี้หรือเปล่า,คุณเคยใช้งานระบบจัดการฐานข้อมูลตัวนี้หรือเปล่า
ผลการวิเคราะห์ข้อมูลชุดนี้ออกมาดีย์มากเบย,ผลการวิเคราะห์ข้อมูลชุดนี้ออกมาดีมากเลย
ฉันกำลังศึกษาการเขียนโปปรแกรมภาษาจาวาอยู่,ฉันกำลังศึกษาการเขียนโปรแกรมภาษาจาวาอยู่
บทความวิชาการนี้้้มีประโยชน์มากเบยคับ,บทความวิชาการนี้มีประโยชน์มากเลยครับ
ร้านอาหารเปิดใหม่ตรงข้ามมหาวิทยาลลลลัยอร่อยมากเบย,ร้านอาหารเปิดใหม่ตรงข้ามมหาวิทยาลัยอร่อยมากเลย
จารย์มอบหมายงานให้พวกเราทำกลุ่มละห้าคน,อาจารย์มอบหมายงานให้พวกเราทำกลุ่มละห้าคน
คุณสนใจจจจเข้าร่วมการแข่งขันเขียนโปรแกรมมุ้ยคับ,คุณสนใจเข้าร่วมการแข่งขันเขียนโปรแกรมไหมครับ
คุณคิดว่าเราควรปรับปรุงระบบรักษาคววววามปลอดภัยมุ้ย,คุณคิดว่าเราควรปรับปรุงระบบรักษาความปลอดภัยไหม
โปรเจกต์นี้ต้องใช้เวลาาาในการพัฒนามากเบยคับ,โปรเจกต์นี้ต้องใช้เวลาในการพัฒนามากเลยครับ
ตะเองเตรียมตัวสำหรับการสอบสัมภาษณ์พร้อมหรือยัง,ตัวเองเตรียมตัวสำหรับการสอบสัมภาษณ์พร้อมหรือยัง
คุณพอจะะะรู้จักผู้เชี่ยวชาญด้านระบบเครือข่ายมุ้ย,คุณพอจะรู้จักผู้เชี่ยวชาญด้านระบบเครือข่ายไหม
ตัวเองชอบฟังเพลงแนวไไไหนเป็นพิเศษเหรอ,ตัวเองชอบฟังเพลงแนวไหนเป็นพิเศษเหรอ
การใช้จ่ายเงินอย่างมีเหตุผลช่วยสร้างความมั่นคงในอนาคคคต,การใช้จ่ายเงินอย่างมีเหตุผลช่วยสร้างความมั่นคงในอนาคต
ฉันรู้สึกสนใจในการพัฒฒนาระบบอัตโนมัติ,ฉันรู้สึกสนใจในการพัฒนาระบบอัตโนมัติ
กรุณาตรวจสอบความถูกต้องของข้อมูลด้วยคับ,กรุณาตรวจสอบความถูกต้องของข้อมูลด้วยครับ
คุณมีความสาามารถในการใช้โปรแกรมจัดการเอกสารมุ้ย,คุณมีความสามารถในการใช้โปรแกรมจัดการเอกสารไหม
ฉันไม่ชอบบรรยากาศที่มีคนพลุกพล่านเลยยยย,ฉันไม่ชอบบรรยากาศที่มีคนพลุกพล่านเลย
คุณเเขียนโปรแกรมภาษาไพทอนได้มุ้ยคับ,คุณเขียนโปรแกรมภาษาไพทอนได้ไหมครับ
การเรียนรู้ของเครื่องต้องใช้ข้อมููลจำนวนมากเลย,การเรียนรู้ของเครื่องต้องใช้ข้อมูลจำนวนมากเลย
พรุ่งนี้เรามีนัดประชุมกันเวลาเก้าโมงเช้าชิมิ,พรุ่งนี้เรามีนัดประชุมกันเวลาเก้าโมงเช้าใช่ไหม
ตะเองช่วยตรวจสอบบบข้อผิดพลาดในเอกสารให้หน่อยสิ,ตัวเองช่วยตรวจสอบข้อผิดพลาดในเอกสารให้หน่อยสิ
อาจารรย์สั่งงานเยอะมาก,อาจารย์สั่งงานเยอะมาก
กรุณาตรวจสอบความถูกต้องของข้อมูลด้วยคับ,กรุณาตรวจสอบความถูกต้องของข้อมูลด้วยครับ
ฉันขอเสนอแนะให้ปรับปรุงระบบการค้นหหหาข้อมูล,ฉันขอเสนอแนะให้ปรับปรุงระบบการค้นหาข้อมูล
ฉันรู้สึกขอบคุณสำหรับความช่วยเเหลือของคุณมากเบย,ฉันรู้สึกขอบคุณสำหรับความช่วยเหลือของคุณมากเลย
คุณมีความคิดเห็นอย่างไรกับเรื่องนี้หยอ,คุณมีความคิดเห็นอย่างไรกับเรื่องนี้เหรอ
ฉันอยากทานนนนอาหารเย็นแล้ว,ฉันอยากทานอาหารเย็นแล้ว
อัลกอริทึมนี้ทำงานได้อย่างมีประสิทธิภาพพพพมากเบย,อัลกอริทึมนี้ทำงานได้อย่างมีประสิทธิภาพมากเลย
ฉันกำลังรวบรวมข้อมูลเพื่อทำวิทยานิพนธธ์,ฉันกำลังรวบรวมข้อมูลเพื่อทำวิทยานิพนธ์
การทดลลลลองนี้ให้ผลลัพธ์ที่น่าพึงพอใจมาก,การทดลองนี้ให้ผลลัพธ์ที่น่าพึงพอใจมาก
ฉันกำลังพยายามประหยัดเงินเพื่อซื้อคอมพิวเตอร์ใหมมม่,ฉันกำลังพยายามประหยัดเงินเพื่อซื้อคอมพิวเตอร์ใหม่
คุณเคยประสบปัญหาแบบบบบเดีย์ยวกันนี้ไหม,คุณเคยประสบปัญหาแบบเดียวกันนี้ไหม
คุณมีความคิดเห็นอย่าาางไรกับเรื่องนี้เหรอ,คุณมีความคิดเห็นอย่างไรกับเรื่องนี้เหรอ
ตะเองคิดว่าชุดนี้เหมาะกับบบฉันมุ้ย,ตัวเองคิดว่าชุดนี้เหมาะกับฉันไหม
บทความวิชาการนนนนี้มีประโยชน์มากเบยคับ,บทความวิชาการนี้มีประโยชน์มากเลยครับ
ตะเองชอบดูการแข่งขันฟุตบอลหรือเปล่า,ตัวเองชอบดูการแข่งขันฟุตบอลหรือเปล่า
ตะเองรู้สึกเหนื่อยลล้าจากการทำงานหรือเปล่า,ตัวเองรู้สึกเหนื่อยล้าจากการทำงานหรือเปล่า
